destination_id,destination_name,country,continent,temperature_min(C),temperature_max(C),weather_type,humidity,cost,features
1,Aksum,Ethiopia ,Africa,14,23,Mild,60,1000,"Ancient Ruins, Historical Sites, Cathedral"
2,Bahir Dar,Ethiopia ,Africa,6,18,Mild,60,1000,"lakes, Churches"
3,Gondar,Ethiopia ,Africa,6,18,Mild,60,1000,"Castles, Culture, Museums, Coffee Culture"
4,Harar,Ethiopia ,Africa,13,26,Mild,60,1000,"Culture, Castles, Nightlife, Coffee Culture"
5,Jinka,Ethiopia ,Africa,18,28,Mild,60,1000,"Markets, Culture"
6,Lalibela,Ethiopia ,Africa,9,24,Mild,60,1000,"Churches, Culture, Castles"
7,Langano,Ethiopia ,Africa,15,23,Mild,52,1000,Beaches
8,Wonchi,Ethiopia ,Africa,13,26,Mild,60,1000,"lakes, Volcanic Landscape, Scenic views, Nature"
9,Buenos Aires,Argentina,South America,15,30,Mild,75,2000,"Tango, Culture"
10,Melbourne,Australia,Oceania,10,22,Mild,68,2000,"Arts Museums, Coffee Culture"
11,Sydney,Australia,Oceania,18,28,Sunny,75,1950,"Opera House, Beaches"
12,Vienna,Austria,Europe,-2,20,Mild,65,1800,"Palaces, Cafes, Classical Music"
13,Brussels,Belgium,Europe,2,18,Rainy,70,1650,"Museums, Architecture"
14,Rio de Janeiro,Brazil,South America,22,35,Humid,78,1850,"Christ the Redeemer, Nightlife, Architecture, Beaches"
15,Quebec City,Canada,North America,-8,10,Snowy,50,1900,"Old Town, Winter Carnival"
16,Toronto,Canada,North America,-5,15,Snowy,60,1700,"CN Tower, Sports"
17,Vancouver,Canada,North America,-2,15,Rainy,65,1750,"Nature, City Life"
18,Vancouver Island,Canada,North America,-2,12,Rainy,65,1600,"Wildlife, Scenic Drives, Outdoor Activities"
19,Cape Verde,Cape Verde Islands,Africa,20,30,Sunny,75,1600,"Beaches, Culture"
20,Beijing,China,Asia,-3,15,Snowy,60,2100,"Great Wall, Culture, Architecture"
21,Hong Kong,China,Asia,20,32,Humid,78,2400,"Skyline, Shopping"
22,Dubrovnik,Croatia,Europe,15,30,Sunny,75,1850,"Walled City, Adriatic Sea, Game of Thrones"
23,Prague,Czech Republic,Europe,-3,15,Snowy,58,1750,"Castles, Astronomical Clock"
24,Copenhagen,Denmark,Europe,0,15,Rainy,68,1800,"Tivoli Gardens, Castles"
25,Cairo,Egypt,Africa,18,35,Dry,65,1500,"Pyramids, Museums, Nile River, Historical Sites"
26,Asmera Cathedral ,Eritrea,Africa,14,26,Mild,65,800,Cathedral
27,Fiat Tagliero,Eritrea,Africa,14,26,Mild,65,800,Historical Sites
28,Massawa,Eritrea,Africa,14,26,Mild,65,800,Beaches
29,Helsinki,Finland,Europe,10,18,Mild,50,1850,"Architecture, Saunas"
30,Paris,France,Europe,5,25,Mild,70,1500,City Life
31,Berlin,Germany,Europe,2,15,Snowy,62,2000,"Wall Remnants, Nightlife"
32,Munich,Germany,Europe,-5,18,Snowy,60,1800,"Gardens, Museums"
33,Athens,Greece,Europe,15,32,Sunny,70,1600,"Historical Sites, Culture"
